epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,3545.54,0.42442,0.74332,0.31654,0.96847,0.99185,1,0.995,0.96307,0.98546,0.99359,0.98944,0.87343,0.28915,0.4845,0.20988,0.83066,0.000273654,0.000273654,0.000273654
51,3651.76,0.28964,0.47612,0.2309,0.8951,0.99864,1,0.995,0.95868,0.99224,0.99359,0.98613,0.87742,0.30574,0.50701,0.2164,0.83988,0.000250075,0.000250075,0.000250075
52,3724.22,0.28509,0.44985,0.22131,0.89281,0.99026,0.99976,0.99481,0.96104,0.99026,0.99976,0.99481,0.88012,0.30197,0.51522,0.21302,0.83215,0.000226497,0.000226497,0.000226497
53,3800.66,0.26928,0.43421,0.21256,0.8885,0.99232,1,0.995,0.97059,0.99232,1,0.995,0.88817,0.28603,0.49528,0.20067,0.82823,0.000202918,0.000202918,0.000202918
54,3874.63,0.26532,0.42654,0.20857,0.88209,0.99838,1,0.995,0.96728,0.99838,1,0.995,0.88855,0.29494,0.49622,0.20675,0.8263,0.00017934,0.00017934,0.00017934
55,3947.6,0.25595,0.41814,0.20158,0.87598,0.99237,1,0.995,0.96596,0.98597,0.99359,0.98746,0.87885,0.28514,0.50219,0.2019,0.81992,0.000155761,0.000155761,0.000155761
56,4019.64,0.25107,0.41507,0.1992,0.87185,0.99247,1,0.995,0.9723,0.98607,0.99359,0.99025,0.8879,0.27817,0.48776,0.19274,0.81748,0.000132183,0.000132183,0.000132183
57,4087.8,0.24412,0.40905,0.19402,0.87237,0.99256,1,0.995,0.97262,0.99256,1,0.995,0.89283,0.27462,0.48602,0.19812,0.81599,0.000108604,0.000108604,0.000108604
58,4156.77,0.23876,0.40102,0.19159,0.86769,0.99272,1,0.995,0.97525,0.98632,0.99359,0.99038,0.89169,0.26721,0.48124,0.19932,0.81134,8.50255e-05,8.50255e-05,8.50255e-05
59,4225.74,0.23311,0.39629,0.18669,0.86811,0.99264,1,0.995,0.97053,0.99264,1,0.995,0.89214,0.2644,0.482,0.19219,0.80914,6.1447e-05,6.1447e-05,6.1447e-05
60,4294.98,0.22948,0.39018,0.18468,0.86316,0.99859,1,0.995,0.97045,0.99219,0.99359,0.9882,0.88644,0.26808,0.49728,0.18979,0.81452,3.78685e-05,3.78685e-05,3.78685e-05
